HumanOS backend listening on http://127.0.0.1:8787
External access uses http://<server-ip>:8787
SQLite database: D:\TUe\OneDrive - TU Eindhoven\Humanos\humanos-syy7\backend\data\humanos.db
[06/Aug/2026 18:11:15] "OPTIONS /api/tasks/task_574c41e15dc8 HTTP/1.1" 204 -
[06/Aug/2026 18:11:15] "PATCH /api/tasks/task_574c41e15dc8 HTTP/1.1" 200 -
[06/Aug/2026 18:11:15] "OPTIONS /api/state-checkins HTTP/1.1" 204 -
[06/Aug/2026 18:11:15] "POST /api/state-checkins HTTP/1.1" 201 -
[06/Aug/2026 18:11:15] "OPTIONS /api/schedules/decide HTTP/1.1" 204 -
DeepSeek unavailable: URLError: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)>
[06/Aug/2026 18:11:58] "POST /api/schedules/decide HTTP/1.1" 200 -
[06/Aug/2026 18:11:58] "OPTIONS /api/schedules/validate HTTP/1.1" 204 -
[06/Aug/2026 18:11:58] "POST /api/schedules/validate HTTP/1.1" 200 -
[06/Aug/2026 18:11:58] "OPTIONS /api/schedules/confirm HTTP/1.1" 204 -
[06/Aug/2026 18:11:58] "POST /api/schedules/confirm HTTP/1.1" 200 -
[06/Aug/2026 18:11:58] "OPTIONS /api/state-transitions HTTP/1.1" 204 -
[06/Aug/2026 18:11:58] "POST /api/state-transitions HTTP/1.1" 201 -
[06/Aug/2026 18:11:58] "OPTIONS /api/context-dumps HTTP/1.1" 204 -
[06/Aug/2026 18:11:58] "POST /api/context-dumps HTTP/1.1" 201 -
[06/Aug/2026 18:11:58] "OPTIONS /api/state-transitions HTTP/1.1" 204 -
[06/Aug/2026 18:11:58] "POST /api/state-transitions HTTP/1.1" 201 -
[06/Aug/2026 18:11:58] "OPTIONS /api/tasks/task_574c41e15dc8 HTTP/1.1" 204 -
[06/Aug/2026 18:11:58] "PATCH /api/tasks/task_574c41e15dc8 HTTP/1.1" 200 -
[06/Aug/2026 18:11:58] "OPTIONS /api/state-checkins HTTP/1.1" 204 -
[06/Aug/2026 18:11:58] "POST /api/state-checkins HTTP/1.1" 201 -
[06/Aug/2026 18:11:58] "OPTIONS /api/schedules/decide HTTP/1.1" 204 -
[06/Aug/2026 18:12:54] "POST /api/schedules/decide HTTP/1.1" 200 -
[06/Aug/2026 18:14:18] "OPTIONS /api/health HTTP/1.1" 204 -
[06/Aug/2026 18:14:18] "GET /api/health HTTP/1.1" 200 -
[06/Aug/2026 18:14:18] "OPTIONS /api/auth/register HTTP/1.1" 204 -
[06/Aug/2026 18:14:18] "POST /api/auth/register HTTP/1.1" 201 -
[06/Aug/2026 18:14:18] "OPTIONS /api/health HTTP/1.1" 204 -
